,,
Tab ,Kontak ,Nomor 
Nomor Darurat Bencana Nasional,,
,,
,BPBD Aceh,(0651)34783
,Basaras Wilayah Aceh ,(0651) 33876
,PMI Aceh,0852 2315 0090
,BPBD Aceh Besar (Emergency) ,0811 6713 113
,BPBD Aceh Besar (Emergency) ,(0651) 92071
,Pusdalops BPBD Aceh Tengah ,0812 6425 7378
,BPBD Aceh Tengah ,(0643) 23113
,BPBD Aceh Utara (Kantor),(0645) 31710
,UDD PMI Aceh Utara (Darah) ,0823 7998 1593
,BPBD Pidie (Kantor),(0653) 7829567
,BPBD Aceh Barat ,(0655) 7551413
,BPBD Kota Banda Aceh (WhatsApp) ,0822 7670 5800
,BPBD Aceh Timur ,0823 2466 8545
,BPBD Aceh Jaya,0811  6899 113
,Damkar BPBK Aceh Jaya ,0811 6792 113
,BPBD Langsa,(0641) 20113113
,BPBD Bireun,(0644) 323535
,BOBD Gayo Lues,(0642) 21390
,BPBD Aceh Tenggara,(0629) 21741
,BPBD Kota Lhokseumawe,085105004113/085277790800
Nomor Darurat Bencana Sumatera Barat,BPBD Sumatera Barat,(0751) 890721
,PMI Sumatera Barat,(0751) 27882
,Damkar Kota Padang,0811 6606 113
,BPBD Padang Pariaman,0811 666 2114
,Damkar Bukittinggi,0853 5515 7883
,BPBD Pesisir Selatan,0852 6938 0950
Nomor Darurat Bencana Sumatera Utara,Basarnas Medan,85191795579
,BPBD PEMPROVSU,8116221733
,BPBD Deli Serdang,8116782022
,BPBD Medan,81370800880
,Damkar Medan,8116566113
,Damkar Binjai,(061) 8821935
,BPBD Binjai,8116192611
,BPBD P. Siantar,82262173370
,BPBD Tapteng,81290900222
,BPBD Taput,81375194119
,BPBD Sibolga,63121544
,BPBD Tapsel,8116217115
,BPBD Sidempuan,81392415449
Daftar Posko Tanggap Darurat Kabupaten/Kota di Provinsi Aceh,Bener Meriah (Pusat Perkantoran Bener Meriah / Kantor Bupati) - Riswandika Sekda Bener Meriah,85277761777
,Langsa (BPBD Langsa) - Nursal Kepala Pelaksana BPBD,8116777776
,Pidie (BPBD Pidie) - Rabiul Kepala Pelaksana BPBD,811687540
,Aceh Tengah (Kantor Bupati) - Kepala Pelaksana BPBD,85312839906
,,82272926272
,Subulussalam (BPBD Subulussalam) - Ramadhan Kepala Pelaksana BPBD,81263334511
,Bireuen (Pendopo Bupati Bireuen) - Junaidi Sekretaris BPBD,81322091183
,Pidie Jaya (Gedung MTQ) - M. Nur Kepala Pelaksana BPBD,8126961789
,Lhokseumawe (Kantor Wali Kota) - Haris PLT Sekda,81262805671
,"Aceh Tamiang (TNI/BPBD) - Taryadi, SH, MH / Sulaiman / Erwin / Vian",8126535555
,,82160765678
,,85270087600
,,82370312858
,Aceh Barat (BPBD Aceh Barat) - T. Ronald PLT Kalaksa BPBD,811683300
,"Nagan Raya (Kantor Bupati Nagan Raya, Desa Sukaraja) - Irfanda Kepala Pelaksana BPBD",82166658456
,"Aceh Selatan (Koramil Trumon, Kantor Camat Trumon) - Dadim Staf",85362721822
,Aceh Singkil (Kantor BPBD Aceh Singkil) - Alhusni Kepala Pelaksana BPBD,82277465795
,Aceh Utara (Kabag Pemerintahan Kab. Aceh Utara) - Yudha ,81394408638
,Aceh Besar (Gudang Logistik BPBD Aceh Besar) - Ridwan Kepala Pelaksana BPBD,8126942570
,PUSDALOPS PB BPBD Sumut,0811 6221 733
,PMI,0852 6612 2520
,DAMKAR Medan,0811 6566 113
,BASARNAS,0852 0787 2962
,,0812 7818 6376
,Tapanuli Selatan - Idham (Kabid Darlog) ,0813 6155 8157
,Tapanuli Utara - Kabid Darlog,0823 6596 6554
,Tapanuli Utara - Septian Staff,0823 6280 5391
,Tapanuli Tengah - Rahman Siregar Kalaksa,0812 6497 1117
,Tapanuli Tengah - Erianto Tambunan Kabid Darlog,0822 7719 4959
,Mandailing Natal - Mukshin Kalaksa,0812 6368 9444
,Mandailing Natal - Ibrahim Kabid Darlog,0822 7709 3939
,Padang Sidimpuan - Arfan Kalaksa,0812 6797 5913
,Padang Sidimpuan - Nazaruddin Kabid Darlog,0821 6605 4989
,Deli Serdang - Arif Tarigan Kabid Darlog,0812 6066 4433
,Tebing Tinggi - Iman Hebat Kabid Darlog,0821 6559 1206
,Serdang Bedagai - Marnaggok Kabid Darlog,0813 7012 5284
,Langkat - Call Center,0811 6571 117
,Sibolga - Dores Kabid Darlog,0823 9832 9981
,Phakpak Barat - J. Jaloho Kabid Darlog,0821 6047 0067
,Nias Selatan - Mission Laia Sekretaris,0821 6099 0000
,Humbang Hasundutan - Sabar Purba Kalaksa,0812 6007 4314
,Humbang Hasundutan - Marnok Staff,0812 6912 3313
,Binjai - Mila Kabid Darlog,0812 6533 4355
,Binjai - Call Center,0811 6116 113
,Gunung Sitoli - Eqoatur Jaya Daili Kalaksa,0812 6066 1771
,Gunung Sitoli - Adiman Sekretaris,0813 6215 8333
,Asahan - BPBD,0822 1181 4212
,Batu Bara - BPBD,0821 6662 3813
