Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
SMU 1 Rantau,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Desa Tungkop,Aceh Barat - Sungai Mas,4.35,96.25,Aceh Barat,Pante Ceureumen,Meunuang Kinco
Kantor BPBD Aceh Barat,Aceh Barat - Johan Pahlawan,4.146,96.126,Aceh Barat,Johan Pahlawan,Kuta Padang
Kecamatan Pante Ceureumen,Aceh Barat - Pante Ceureumen,4.28,96.2,Aceh Barat,Kaway Xvi,Pungkie
RSUD Cut Nyak Dhien,Aceh Barat - Johan Pahlawan,4.146,96.126,Aceh Barat,Johan Pahlawan,Kuta Padang
Desa Pasar Blangpidie Asrama Kodim 0110,Aceh Barat Daya - Blang Pidie,3.75,96.86,Aceh Barat Daya,Blangpidie,Babah Lhung
Rumah Sakit Teuku Peukan,Aceh Barat Daya - Susoh,3.735,96.84,Aceh Barat Daya,Blangpidie,Geulumpang Payong
Meunasah indrapuri,Aceh Besar - Indrapuri,5.43,95.46,Aceh Besar,Indrapuri,Lam Leubok
Kantor Camat Trumon,Aceh Selatan - Trumon,2.825,97.62,Aceh Selatan,Trumon,Keude Trumon
Kantor Camat Trumon Timur,Aceh Selatan - Trumon Timur,2.85,97.7,Aceh Selatan,Trumon Tengah,Lhok Raya
Posko Kompi 1 Batalyon C Pelopor Sat Brimob,Aceh Selatan - Trumon Timur,2.85,97.7,Aceh Selatan,Trumon Tengah,Lhok Raya
RSUD Dr. H. Yuliddin Away,Aceh Selatan - Tapak Tuan,3.262,97.185,Aceh Selatan,Tapaktuan,Hulu
Kantor BPBD Kab. Aceh Singkil,Aceh Singkil - Singkil,2.28,97.79,Aceh Singkil,Singkil,Pasar
Kantor Kec. Gunung Meriah,Aceh Singkil - Gunung Meriah,2.305,97.85,Aceh Singkil,Singkil,Pea Bumbung
RSUD Aceh Singkil,Aceh Singkil - Gunung Meriah,2.305,97.85,Aceh Singkil,Singkil,Pea Bumbung
"BABO (Blok 8), kec. BANDAR PUSAKA",Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
Bukit Desa Sriwijaya,Aceh Tamiang - Kota Kuala Simpang,4.281,98.062,Aceh Tamiang,Kota Kualasinpang,Perdamaian
Bukit desa suka jadi paya bujok,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
BUKIT MEJA PT.PPP KEBUN TANAH TERBAN,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"Daerah sekitar bukit rambat, kampung Jawa",Aceh Tamiang - Tenggulun,4.085,97.95,Aceh Tamiang,Tenggulun,Selamat
DESA BUNDAR DUSUN BAHAGIA,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"DESA PANTAI CEMPA (dibukit dekat tower), kec. BANDAR PUSAKA",Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
"Desa paya raja, kecamatan banda mulya",Aceh Tamiang - Banda Mulia,4.42,98.15,Aceh Tamiang,Bendahara,Seuneubok Aceh
"DESA PENGIDAM, kec. BANDAR PUSAKA",Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
DESA SAMPAIMAH KEC.MANYAK PAYED,Aceh Tamiang - Manyak Payed,4.35,98.08,Aceh Tamiang,Karang Baru,Alur Bemban
"DESA SERBA, Dsn. ALUR HITAM (Area bukit ujung)",Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
"DESA TELAGA MEUKU, KEC. BANDA MULIA",Aceh Tamiang - Banda Mulia,4.42,98.15,Aceh Tamiang,Bendahara,Seuneubok Aceh
Di bukit blok 9 depan rumah nek bibi,Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
Dusun lalang desa Mekarjaya,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
"Dusun pekan, desa mesjid sungai iyu, kecamatan bendahara",Aceh Tamiang - Bendahara,4.4,98.15,Aceh Tamiang,Bendahara,Perkebunan Sungai Iyu
Dusun permai desa Mekarjaya,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Gang bunga tupah,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"Gang TU 2 Kp Dalam, belakang SD IT (rumah kuning 2 lantai)",Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Gang wak mis Depan gerbang SD IT kampung dalam (rumah tingkat 2),Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"GOR Aceh Tamiang, Karang Baru",Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
JnT karang baru,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Kampung bukit kecamatan tenggulun,Aceh Tamiang - Tenggulun,4.085,97.95,Aceh Tamiang,Tenggulun,Selamat
Kantor Camat Sungai Liput,Aceh Tamiang - Tenggulun,4.085,97.95,Aceh Tamiang,Tenggulun,Selamat
Kantor datok Benua Raja,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Kantor datok kampung durian,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Kantor pengadilan Kuala Simpang,Aceh Tamiang - Kota Kuala Simpang,4.281,98.062,Aceh Tamiang,Kota Kualasinpang,Perdamaian
Kawasan pabrik betami dan BDL (desa alur manis & perkebunan rantau),Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
