Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
Kantor Camat IV Koto,Agam - IV Koto,-0.25,100.35,Agam,Tilatang Kamang,Gadut
Masjid Islahul Khair,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
"BPBD Agam, Padang Baru",Agam - Lubuk Basung,-0.33,100.04,Agam,Lubuk Basung,Lubuk Basung
Jalan Batuang,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Kampung Jambu,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Kantor Camat Tanjung Mutiara,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
Kantor Wali Nagari Bawan,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Kantor Wali Nagari Bayua,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Kantor Wali Nagari Koto Kaciak,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Kantor Wali Nagari Pasia Laweh,Agam - Palupuh,-0.15,100.25,Agam,Palupuh,Nan Tujuah
Los Pasar Tiku,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
Masjid Istiqomah dan MDA,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
Masjid Koto Baru,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Masjid Nurul Fallah Limo Badak,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Masjid Nurul Iman Jorong Bukik Malanca,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Masjid Nurul Sahadah Jorong Saskan,Agam - Ampek Nagari,-0.3,100.05,Agam,Lubuk Basung,Lubuk Basung
Masjid Pasa Rabaa,Agam - Tanjung Raya,-0.3,100.15,Agam,Tanjung Raya,Koto Malintang
Masjid Ummil Quran,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
MDA Bancah,Agam - Tanjung Mutiara,-0.45,100.05,Padang Pariaman,Sungai Garingging,Batu Gadang Kuranji Hulu
