Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
Desa Sipange,Tapanuli Tengah - Tukka,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
Dusun Sibalanga Jae,Tapanuli Utara - Adian Koting,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
Dusun Sibalanga Julu,Tapanuli Utara - Adian Koting,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Gereja HKBP Desa Sibalanga,Tapanuli Utara - Adian Koting,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Lobu Pining,Tapanuli Utara - Pahae Julu,1.9682,99.0185,Tapanuli Utara,Siatas Barita,Pansur Napitu
Robean,Tapanuli Utara - Purba Tua,1.8619,99.1496,Tapanuli Utara,Pahae Jae,Tordolok Nauli
SDN Sihaporas,Tapanuli Utara - Parmonangan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Sitol Bahal,Tapanuli Utara - Purba Tua,1.8653,99.1437,Tapanuli Utara,Pahae Jae,Tordolok Nauli
GOR Pandan,Tapanuli Tengah - Pandan,1.69,98.83,Tapanuli Tengah,Pandan,Aek Tolang
BUKIT belakang SMA 1 KJM (Sd Impres),Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Bukit blkang pabrik sisil / pabrik sisiro payanas/sidodadi,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
"Bukit simpang pangkalan mau arah ke desa pangkalan, kebun tengah dekat gudang aqua",Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Depan SPBU kebun tengah,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Klinik abah,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Mesjid Seumadam,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Minuran SMANDU,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Perumahan samping SPBU seumadam,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Polsek Kejuruan Muda,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
SD AW Seumadam,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
SMAN 1 KEJURUAN MUDA,Aceh Tamiang - Kejuruan Muda,4.21,98.12,Langkat,Pematang Jaya,Sala Haji
Buntul Kendawi,Aceh Tenggara - Darul Hasanah,2.02,98.97,Tapanuli Utara,Tarutung,Hutatoruan Vii
GOR Bancah Laweh,Kota Padang Panjang - Padang Panjang Timur,1.75,98.78,Kota Sibolga,Sibolga Utara,Angin Nauli
Islamic Center,Kota Padang Panjang - Padang Panjang Timur,1.75,98.78,Kota Sibolga,Sibolga Utara,Angin Nauli
Kantor Lurah Pasar Usang,Kota Padang Panjang - Padang Panjang Barat,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Kantor Lurah Silaian Bawah,Kota Padang Panjang - Padang Panjang Barat,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Mesjid Nurul F. Tanah Lambik,Kota Padang Panjang - Padang Panjang Timur,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
"Mesjid Nurul Saadah, Gumala",Kota Padang Panjang - Padang Panjang Timur,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
"Mushola Nur Falah, Kampung Manggis",Kota Padang Panjang - Padang Panjang Barat,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
Rumah Dinas Camat Padang Panjang Timur,Kota Padang Panjang - Padang Panjang Timur,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
SDN 10 Padang Panjang Barat,Kota Padang Panjang - Padang Panjang Barat,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
"SDN 11 PPT, Koto Panjang",Kota Padang Panjang - Padang Panjang Timur,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
"SDN 13 PPT, Koto Katik",Kota Padang Panjang - Padang Panjang Timur,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Taman Kota Kalumpang,Kota Solok - Lubuk Sikarah,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Desa Bulu Cina,Deli Serdang - Hamparan Perak,3.73,98.57,Deli Serdang,Hamparan Perak,Sialang Muda
Gedung Serba Guna,Deli Serdang - Pantai Labu,3.6503,98.9099,Deli Serdang,Pantai Labu,Pantai Labu Baru
Mesjid Al Ikhlas,Deli Serdang - Pantai Labu,3.6466,98.8901,Deli Serdang,Pantai Labu,Perkebunan Ramunia
Mesjid Dusun 1,Deli Serdang - Pantai Labu,3.6577,98.8919,Deli Serdang,Pantai Labu,Pantai Labu Pekan
Musholla Al Hidayah 2,Deli Serdang - Pantai Labu,3.6467,98.9042,Deli Serdang,Pantai Labu,Pantai Labu Baru
Musholla Nur Muhammad,Deli Serdang - Pantai Labu,3.6406,98.9021,Deli Serdang,Pantai Labu,Perkebunan Ramunia
Posko DPD Golkar,Deli Serdang - Pantai Labu,3.6403,98.8965,Deli Serdang,Pantai Labu,Perkebunan Ramunia
Posko Dusun 1,Deli Serdang - Pantai Labu,3.6571,98.8918,Deli Serdang,Pantai Labu,Pantai Labu Pekan
SD Negeri Desa Tengah,Deli Serdang - Pantai Labu,3.645,98.9007,Deli Serdang,Pantai Labu,Perkebunan Ramunia
Desa Pulogadung,Humbang Hasundutan - Pakkat,2.16,98.62,Humbang Hasundutan,Onan Ganjang,Sampe Tua
Ds. Batu Nagodang Siatas,Humbang Hasundutan - Onan Ganjang,2.18,98.68,Humbang Hasundutan,Sijamapolang,Bonan Dolok Ii
Ds. Purba Baringin,Humbang Hasundutan - Pakkat,2.16,98.62,Humbang Hasundutan,Onan Ganjang,Sampe Tua
Ds. Purbasatu,Humbang Hasundutan - Pakkat,2.16,98.62,Humbang Hasundutan,Onan Ganjang,Sampe Tua
Gereja HKBP Parbotihan,Humbang Hasundutan - Onan Ganjang,2.18,98.68,Humbang Hasundutan,Sijamapolang,Bonan Dolok Ii
rumah warga di Ds. Pangguguran,Humbang Hasundutan - Pakkat,2.16,98.62,Humbang Hasundutan,Onan Ganjang,Sampe Tua
SDN UPT 121,Humbang Hasundutan - Onan Ganjang,2.18,98.68,Humbang Hasundutan,Sijamapolang,Bonan Dolok Ii
Tanah lapang Panggunggunan,Humbang Hasundutan - Pakkat,2.16,98.62,Humbang Hasundutan,Onan Ganjang,Sampe Tua
Wisma Gereja HKBP Ds. Tarabintang,Humbang Hasundutan - Tarabintang,2.1,98.55,Humbang Hasundutan,Pakkat,Peadungdung
Wisma HKBP,Humbang Hasundutan - Tarabintang,2.1,98.55,Humbang Hasundutan,Pakkat,Peadungdung
Jalan T.Imam Bonjol Kel. Setia,Kota Binjai - Binjai Kota,3.6,98.48,Kota Binjai,Binjai Kota,Satria
Gereja HKBP Edinazer,Kota Medan - Medan Barat,3.6,98.67,Kota Medan,Medan Barat,Silalas
Gereja HKBP Judea,Kota Medan - Medan Tuntungan,3.51,98.61,Kota Medan,Medan Tuntungan,Laucih
Gereja Jeriko,Kota Medan - Medan Tembung,3.6,98.71,Deli Serdang,Percut Sei Tuan,Medan Estate
Kantor Lurah Sei Mati,Kota Medan - Medan Labuhan,3.695,98.69,Kota Medan,Medan Labuhan,Besar
Kantor Lurah Terjun,Kota Medan - Medan Marelan,3.68,98.645,Deli Serdang,Labuhan Deli,Manunggal
Komplek Swalloew,Kota Medan - Medan Amplas,3.54,98.7,Kota Medan,Medan Amplas,Harjosari Ii
Masjid AL Falah,Kota Medan - Medan Maimun,3.578,98.685,Kota Medan,Medan Maimun,Aur
Masjid Al Istiqomah,Kota Medan - Medan Helvetia,3.605,98.635,Kota Medan,Medan Helvetia,Helvetia Tengah
Masjid AL Muqomar,Kota Medan - Medan Selayang,3.55,98.63,Kota Medan,Medan Selayang,Tanjungsari
Masjid Al Mutaqin,Kota Medan - Medan Johor,3.535,98.675,Kota Medan,Medan Johor,Pangkalan Mansur
Masjid Al. Hasanah,Kota Medan - Medan Timur,3.6,98.68,Kota Medan,Medan Timur,Gaharu
Masjid Kuningan ALhikmah,Kota Medan - Medan Area,3.58,98.69,Kota Medan,Medan Kota,Kotamatsum III
Masjid Nasuha Taqwa,Kota Medan - Medan Amplas,3.54,98.7,Kota Medan,Medan Amplas,Harjosari Ii
Masjid Nurul Huda,Kota Medan - Medan Denai,3.56,98.7,Kota Medan,Medan Kota,Sudirejo 1
Mushola Al Huda,Kota Medan - Medan Perjuangan,3.6,98.69,Kota Medan,Medan Timur,Perintis
SD. Permata,Kota Medan - Medan Sunggal,3.59,98.62,Kota Medan,Medan Sunggal,Lalang
Sekolah Babu Ulum,Kota Medan - Medan Marelan,3.68,98.645,Deli Serdang,Labuhan Deli,Manunggal
Wisma Efrata,Kota Medan - Medan Baru,3.58,98.66,Kota Medan,Medan Baru,Babura
Desa Goti,Kota Padang Sidempuan - Padangsidimpuan Tenggara,1.35,99.3,Kota Padang Sidempuan,Padangsidimpuan Tenggara,Sihitang
Desa Manegen,Kota Padang Sidempuan - Padangsidimpuan Tenggara,1.35,99.3,Kota Padang Sidempuan,Padangsidimpuan Tenggara,Sihitang
Desa Sabungan Sipabangun,Kota Padang Sidempuan - Padangsidimpuan Hutaimbaru,1.4,99.25,Kota Padang Sidempuan,Padangsidimpuan Utara,Losung Batu
Desa Tinjoman,Kota Padang Sidempuan - Padangsidimpuan Hutaimbaru,1.4,99.25,Kota Padang Sidempuan,Padangsidimpuan Utara,Losung Batu
Esdeli Jl.Kosantaroji Kel.Ujung Padang,Kota Padang Sidempuan - Padangsidimpuan Selatan,1.36,99.27,Kota Padang Sidempuan,Padangsidimpuan Selatan,Sidangkal
Gg. Syukur Kel. Losung Batu,Kota Padang Sidempuan - Padangsidimpuan Utara,1.38,99.27,Kota Padang Sidempuan,Padangsidimpuan Utara,Wek Ii
Kantor Walikota,Kota Padang Sidempuan - Padangsidimpuan Utara,1.38,99.27,Kota Padang Sidempuan,Padangsidimpuan Utara,Wek Ii
Melati Seberang Kel. Sidangka,Kota Padang Sidempuan - Padangsidimpuan Selatan,1.36,99.27,Kota Padang Sidempuan,Padangsidimpuan Selatan,Sidangkal
Belakang Puskesmas Parombunan,Kota Sibolga - Sibolga Selatan,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Gg Kenanga Kel. Aek parambunan,Kota Sibolga - Sibolga Selatan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Gg. Aman Parombunan,Kota Sibolga - Sibolga Selatan,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Gg. Ambaroba,Kota Sibolga - Sibolga Selatan,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Gg. Mandiri Taspen,Kota Sibolga - Sibolga Kota,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Gg. Maninjau,Kota Sibolga - Sibolga Sambas,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
GOR Porimbunan,Kota Sibolga - Sibolga Selatan,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
jalan Imam Bonjol,Kota Sibolga - Sibolga Kota,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
jalan kenari,Kota Sibolga - Sibolga Sambas,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Jl. Murai Kel. Aek manis,Kota Sibolga - Sibolga Selatan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Jl. Sudirman,Kota Sibolga - Sibolga Selatan,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Kantor IPHI,Kota Sibolga - Sibolga Selatan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Kel Huta Barangan,Kota Sibolga - Sibolga Utara,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Kel. Aek Habil,Kota Sibolga - Sibolga Selatan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Kel. Angin Nauli,Kota Sibolga - Sibolga Utara,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
